Country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10992,21984,32976,43968,54960,65952,80608,98928,117248,135568,153888,183200,212512,241824,271136,300448,333424,373728,414032,443344,465328,512960,560592,608224,655856,703488,751120,795088,842720,894016,945312,1007600,1073552,1139504,1209120,1278736,1352016,1428960,1509568,1597504,1689104,1791696,1894288,1996880,2128784,2271680,2410912,2572128,2674720,2780976,2912880,3074096,3209664,3352560,3528432,3682320,3850231,4031600,4221082
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186864,410368,677840,916000,1150496,1417968,1663456,1971232,2293664,2744336,3246304,3817888,4503056,5166240,6386352,8009504,9108704,10343472,10823456,11145888,11493968,11899497,12370221,13713323,14855775,15995279,17270492,18332866,19652958,21145899,22641526,23820915,24815749,26084010,27392501,29531638,31087476,32797516,35136779,35913547,36734283,37780113,38545889,39121137,40037137,40986113,41957561,43064195,44265538,45561883,47293460,49262904,51511409,54462194,57520011,60561086,63789505,67163659,70573384
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10992,21984,32976,43968,54960,65952,80608,95264,124576,153888,179536,208848,274800,326096,377392,399376,421360,443344,465328,487312,509296,545936,582576,619216,659520,699824,740128,787760,835392,883024,930656,978288,1011264,1040576,1073552,1128512,1190800,1256752,1322704,1392320,1461936,1531552,1601168,1670784,1740400,1810016,1885986,1962827,2044872
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285792,597232,985616,1417968,1824672,2172752,2656400,3118064,3565072,3949792,4440768,4931744,5481344,6082240,6756297,7602206,8594674,9469924,10506302,11652480,12901161,14428187,16189501,18232914,20137005,22172852,24254707,26862126,29774169,32555151,35003611,37239825,39310446,41399259,43380208,45622663,48200197,50924059,53829980,56763325,59675310,62962575,66703795,70594794,75795128,80597013,85283749,90200414,95435874,100874870,106269346,111935265,118161701,124690242,131488246,138175406,145140687,153032352,160942812,168622068,176050078,183634515,191241509,198672733,206259796,214431896,222997581,231692589
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498304,1044240,1505904,2059168,2645408,3268288,4030400,5202880,6441312,7800656,9398160,11288784,13531152,15986032,18697392,21573632,24816272,28802704,32763488,36815872,41630368,47049424,52618704,56484224,62038848,66556560,71689824,78673408,84250016,91600000,100404592,108670576,113452096,117760960,121604496,126697456,130830448,136945664,144280992,151293888,157878096,163817440,170280736,177678352,184636288,189769552,197104880,204601424,211412800,217949376,224540912,230055232,236119152,242465200,250808128,260338192,270077104,280931213,291688755,303413163
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5250921,10986665,16998979,23168534,30031873,37807975,45808786,53736688,61744433,70308750,79188358,90793219,103292922,114997043,128971486,142996021,157618565,172697119,187342966,203699874,221482983,238950423,257951848,275381596,294152897,313951204,334144122,355226771,376166333,397836221,419453271,442895236,460199421,476831969,493935684,510296901,527336998,544966207,563659149,583057391,603299128,623114863,644081561,666135532,689521817,712566572,736056106,759781745,784837970,808623267,830618773,851863857,872665530,891908503,910496681,928347354,946343922,964565396,981746998
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76944,161216,245488,333424,443344,611888,802416,985616,1168816,6774736,13245360,19529120,25721280,31671616,38450016,44294096,58162336,76159904,91824642,105511741,117680043,131834589,144860504,159139508,173733645,188903030,204639910,220659432,237902730,256556816,276145193,296921458,319295108,342180440,369216015,396397004,425742051,456361099,487993204,519297466,551924772,586345409,617042392,649479711,681884818,715260023,748993410,784392082,819905115,853021758,882572988,913705975,942990085,975136843,1000723041,1027595529,1052104632,1076462057,1101645008,1127589248,1152921436,1178887032,1204242143,1229108093,1254955740,1282183908,1308781347,1339027394,1368732563,1406904738,1442676586,1478603454,1513192442,1547825532,1583826337,1620492822,1656996984
Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10419189,19378270,28728293,38996437,48832175,58395439,66975425,74998616,84881741,94071833,106099214,119551164,131258684,142610802,155203864,166618178,174884226,192541760,201764431,209618806,217858199,226337488,234413988,243444150,248085102,259674155,273238648,275839003,278150778,280428049,284763019,289405389,293109875,296161920,300873299,305390200,309860050,314041320,318417068,318658597,320468494,325270838,330161010,334875526,339593178,344542948,349448805,354561686,360317598,365853938,371518885,375420985,380398987,386393291,391603499,397480555,403615931,409870389,416123737
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267472,549600,864704,1231104,1674448,2125120,2799296,3616368,4382144,5213545,6099877,6964194,7868816,8854046,9854020,11004130,12245840,13608105,15230306,16900109,18602800,20486315,22892202,25395653,27324337,29314981,31802298,34501183,37345672,40390504,43650413,46745384,49901824,53052440,56286282,59430682,63035925,67219952,71416577,75845124,80488180,85619999,91127155,96878525,102872548,108736864,114951341,121252542,127846296,134707091,141815951,148798192,155968972,163529207,171316958,179289128,187449973,195922586,204556779,212939378,220957255,228657450,235827377,242322236,249200779,256103650,263411449,270926137
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92871775,191922488,299428837,413994154,534510517,659934399,782145523,903666941,1024934796,1151810583,1286503612,1440931133,1602908444,1766355941,1930449060,2096416687,2270051053,2450427146,2636184015,2823598978,3006096654,3190706863,3373278888,3554053461,3735050133,3922144491,4106673286,4292455488,4476717307,4657926135,4833105698,4997333100,5145845576,5289919795,5427882462,5559414971,5691387031,5826035745,5956885459,6082011122,6198452704,6325349618,6452015990,6575614020,6702662394,6830421719,6955716250,7082096541,7210277275,7333211143,7448466426,7565961978,7680985280,7791899361,7898300552,8002360859,8107145417,8213688712,8321584468
Czechoslovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267472,1146832,2641744,4752208,7478224,10819792,14776912,19345920,24530480,30330592,36746256,43777472,51420576,59679232,68553440,78043200,94446928,111682384,129749568,149165104,169734800,191458656,213673488,237401552,261910048,287642320,314693632,343107952,373563120,405806320,440288224,476037872,512329792,549427792,587456448,626925056,667364624,710163808,753919296,798810624,843375856,889941632,937130288,985205632,1033749968,1083723264,1135909616,1190756032,1246613712,1302130640,1357068656,1412702832,1471898416,1533816352,1590263936,1646586944,1706533648,1762904288,1810964976,1856369264,1901399824,1944646016,1983242592,2024037568,2074109792,2121232496,2169011056,2220285072,2274270448,2334660496,2387898416,2437710496,2481125232,2520832000,2560494800,2601326416,2645690128,2699426352,2760999872,2828648304,2904892480,2981634960,3064404720,3155788544,3242918464,3289158144,3346708592,3412019392,3482606352,3556809680,3633207744,3714618160,3801663808,3891882480,3988231024,4088243568,4195562128,4307651216,4430124080,4552710528,4683453040,4825356096,4976576704,5135649264,5301199776,5462511040,5622913632,5782982800,5950453248,6128241520,6332077168,6545933856,6761787424,6978556992,7197876704,7427389664,7665875760,7911539632,8159486176,8401017056,8645427840,8887229856,9126705232,9366561664,9614541184,9859179136,10105546496,10349986592,10590546512,10823214176,11040793488,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784,11241448784
Democratic Republic of Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664,10992,91600,252816,468992,641200,879360,1110192,1392320,1696432,2084816,2333968,2385264,2388928,2407248,2440224,2480528,2583120,2704032,2791968,2868912,2971504,3114400,3334240,3506448,3678656,3990096,4316192,4689920,5166240,6646496,8394224,10479040,12769040,15586656,18975856,22152544,25483120,28410656,31109627,33428137,35783524,37955474,40248157,42222132,44690658,47093172,49381984,52748011,56396047,59105714,62064383,65081588,68270762,71635453,74868239,78273124,81750095,85276071,89016176,92501196,96256620,99303585,103301585,107233226,110845160,114190824,118006687,121984679,126336671,130363040,133301447,136099686,138676947,140299486,142399551,144692988,146579420,148234260,149600479,150397985,151214392,152115646,153068558,154226067,155671371,157224661,158920878,160731713,162426996,164390334,166829035,169181202,172719331,177350595,182054375,182054375,186868045
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135568,293120,501968,729136,901344,1212784,1483920,1824672,2136112,2469536,2828608,3286608,3740944,4389472,5052656,5543632,6170176,6712448,7496544,8174384,8929168,9577696,10592624,11530608,12446608,13531152,14476464,15619632,16806768,17946272,19096768,20338864,21797136,23339680,24863904,26311184,27945328,29806640,31777872,33892000,36321232,38739472,41274960,43704192,46195712,48998672,51992160,54861072,57946160,61115520,64112672,67512864,71037632,75350160,79974128,84777632,90028144,95176064,100536496,106039824,111766656,117944160,123953120,130497024,136330112,143566512,151572352,158922336,166752304,176036880,185563280,195327840,205781232,215996464,223430720,232107072,240343744,247536176,254329232,263980208,274506880,286847232,297568096,308036144,321362112,333922304,349050960,362860576,377183152,390611712,403985312,418630320,433883552,449664400,465961872,480595888,496900688,511725232,529125568,545598912,566223568,586507472,600551584,618197408,639653792,656728032,673611744,695603072,717528448,740432112,763588592,789170640,816240272,842617408,867521616,894316448,920350880,950100399,981802266,1018692150,1059360062,1102506988,1146800359,1196878770,1245905197,1299177873,1358520459,1420559780,1477569255,1537163159,1596384974,1651426497,1707171099,1767273460,1829090844,1890186701,1953164349,2013512280,2065284865,2118968720,2169136056,2219991918,2280056543,2338962824,2397308442,2452419908,2501227716,2554828590,2619049535,2677462910,2738116325,2802831500,2864459996,2939337495,3004807071,3066036486,3124685992,3178993542,3234874295,3290425983,3351061241,3406171375,3457703449,3517142328,3571799435,3623010033,3671833527,3721125802,3765441345,3805322203,3847147257,3884770789,3920085907,3957203249,3991753370
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10992,36640,62288,91600,124576,161216,190528,234496,282128,318768,359072,403040,450672,516624,600896,721808,861040,948976,1069888,1154160,1293392,1454608,1645136,1824672,2018864,2216720,2414576,2612432,2813952,3176688,3524768,3825216,4173296,4521376,4873120,5232192,5609584,5997968,6346048,6734432,7056864,7368304,7679744,7991184,8295296,8599408,8910848,9236944,9552048,9867152,10207904,10574304,10973680,11395040,11801744,12215776,12626144,13087808,13586112,14047776,14564400,15037056,15553680,16145862,16828554,17569039,18357266,19174274
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664,10992,14656,18320,21984,25648,29312,36640,47632,58624,69616,80608,95264,109920,124576,139232,161216,183200,201520,227168,252816,278464,304112,333424,362736,392048,417696,443344,476320,512960,549600,589904,630208,674176,721808,769440,817072,872032,930656,989280,1047904,1106528,1168816,1234768,1315376,1388656,1469264,1546208,1626816,1729408,1839328,1941920,2059168,2172752,2290000,2403584,2557472,2689376,2821280,2960512,3088752,3224320,3356224,3491792,3633319,3777592,3921840
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7328,29312,54960,403040,762112,1355680,1974896,2601440,3517440,4503056,5536304,6602528,7715611,8755504,9784137,11025252,12273755,14020265,15565611,17235266,18802210,21149526,23800687,26905768,30424465,35093332,41052312,47461875,53794554,60116904,65715823,71146147,77931733,84358741,90493982,96797467,104663062,112053527,119295070,127416152,137103442,146843197,157101100,166252762,176205385,187027722,198694901,211071695,226843058,244040715,261897651,280146161,298530088,318123762,337717551,358791806,380051732,398121422,416501624,435922026,456678458,476947475,496761133,517335562,538116220,559767516,580725311,601716408,623187518,644969862,666238638
EU-28,9350528,18704720,28058912,37416768,46778288,56784672,66794720,76808432,86825808,96843184,107816864,118794208,129775216,140759888,151748224,164007968,176271376,188538448,200809184,213083584,226695344,240310768,253929856,267552608,281179024,296216080,311256800,326301184,341349232,356404608,373248016,390095088,406949488,423807552,440672944,459821008,478976400,498135456,517301840,536475552,557891632,579784032,601694752,623572496,645461232,668408864,692499664,717590736,744015504,771850912,799539760,836029536,867217504,901190112,934265040,968974112,1005467552,1040136320,1074819744,1111778512,1150910032,1191430208,1232126256,1273690672,1316574128,1363572256,1412281472,1461140912,1510322784,1560215472,1610818976,1663415696,1719060864,1776567344,1836184288,1896284880,1960749296,2025788960,2090374288,2177379632,2259614448,2341684384,2424941456,2510041520,2596152848,2696176384,2795533072,2898491472,3004542288,3117551040,3233894032,3356403536,3481426544,3613473440,3757377040,3902335872,4059532464,4216391968,4381528448,4558320112,4732272176,4912797456,5099577184,5321197888,5542452192,5779223536,6017537424,6258504048,6512499856,6792817840,7090814624,7392845472,7710426336,8052482720,8418428384,8794457376,9187666864,9584983696,10000140544,10420240128,10866683872,11348976192,11856938496,12325307616,12842030544,13362754560,13881060336,14402161744,14939326128,15544358784,16164681312,16805965584,17482138464,18152584512,18822590880,19490197328,20182612720,20916097888,21682789888,22482216064,23307429472,24116876688,24896847024,25746993952,26615094480,27524609200,28474863936,29451781600,30488810848,31573838496,32645302016,33718905312,34841507280,35979355152,37160053504,38370327664,39713092064,41077107664,42438034512,43821275120,45235307984,46690952896,48267425536,49671158896,51000982048,52390022768,53770277216,55071304992,56167060832,57451333136,58619746096,59924364592,61158462080,62580874512,63991258032,65163291024,66672683152,68175886784,69805641312,71309574080,72675806400,73914322672,75180014832,76547221776,77964559568,79445709584,81067374000,82674048992,84314579344,86017789744,87700628304,89401233600,91089773344,92576848048,93429607408,94641665936,96010756176,97492166336,99092634512,1.01E+11,1.03E+11,1.05E+11,1.06E+11,1.09E+11,1.11E+11,1.13E+11,1.15E+11,1.18E+11,1.20E+11,1.23E+11,1.26E+11,1.28E+11,1.31E+11,1.35E+11,1.38E+11,1.41E+11,1.45E+11,1.48E+11,1.52E+11,1.56E+11,1.60E+11,1.64E+11,1.68E+11,1.73E+11,1.77E+11,1.81E+11,1.86E+11,1.90E+11,1.95E+11,2.00E+11,2.04E+11,2.08E+11,2.13E+11,2.17E+11,2.21E+11,2.26E+11,2.30E+11,2.34E+11,2.39E+11,2.43E+11,2.48E+11,2.52E+11,2.56E+11,2.60E+11,2.64E+11,2.69E+11,2.73E+11,2.77E+11,2.81E+11,2.86E+11,2.90E+11,2.94E+11,2.98E+11,3.03E+11,3.07E+11,3.11E+11,3.16E+11,3.20E+11,3.24E+11,3.28E+11,3.31E+11,3.35E+11,3.39E+11,3.42E+11,3.46E+11,3.49E+11,3.53E+11
